account_id,account_name,account_country,account_city,region,industry,annual_revenue,number_of_employees,account_type,is_sales_working_account,account_owner_name,revenue_segment,ARR,has_active_contract,first_contract_start_date,last_contract_end_date,contracted_seats,account_source
ACCT-0,Quick Group,United States,San Francisco,West,Technology,49276764,23961,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-1,Quick Co,France,Toulouse,International,Transportation,3274804,3471,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-2,Worldwide Inc,Germany,Berlin,International,Energy,5188889,1298,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-3,East Group,Germany,Hamburg,International,Financial Services,5508325,3493,customer,True,Sarah Brown,midmarket,91525,True,2026-06-11 00:00:00,2027-06-11 00:00:00,10,
ACCT-4,Red Technologies,United States,San Francisco,West,Government,8628527,4098,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-5,Blue Partners,United States,Philadelphia,East,Real Estate,8691502,3034,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-6,Continental Corp,United States,San Francisco,West,Insurance,38434222,37421,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-7,Dynamic Group,Sweden,Gothenburg,International,Financial Services,75140950,27527,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-8,International Inc,United States,Boston,East,Transportation,1273155,1117,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-9,Worldwide LLC,United States,Seattle,West,Legal,312146,89,prospect,True,Samantha Lee,SMB,0,False,,,0,
ACCT-10,Worldwide LLC,Sweden,Uppsala,International,Government,22527880,47899,prospect,True,Donna Moriarty,enterprise,0,False,,,0,
ACCT-11,Green Co,United States,Boston,East,Retail,16950770,30974,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-12,North Co,United States,San Francisco,West,Financial Services,22240547,11237,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-13,Tech Ltd,United States,Seattle,West,Technology,8466983,176,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-14,Tech Group,Germany,Munich,International,Technology,2188301,1975,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-15,Red Corp,United States,Seattle,West,Technology,6020671,1223,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-16,Red LLC,United States,San Francisco,West,Technology,690653,2,prospect,True,Jake Morgan,SMB,0,False,,,0,
ACCT-17,Fast LLC,United States,San Francisco,West,Manufacturing,30317091,31981,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-18,Fast Systems,United Kingdom,London,International,Consulting,7442986,2979,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-19,Silver Group,United States,Seattle,West,Manufacturing,5163551,4633,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-20,Fast Partners,United States,Portland,West,Legal,13600310,48149,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-21,International Co,United States,Boston,East,Technology,7572491,2521,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-22,North Inc,United States,San Francisco,West,Technology,61792685,12388,prospect,True,Donna Moriarty,enterprise,0,False,,,0,
ACCT-23,Innovative Systems,United States,Seattle,West,Government,11619606,28664,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-24,Worldwide Group,United States,"Washington, D.C.",East,Financial Services,7130603,4575,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-25,South LLC,United States,Los Angeles,West,Consulting,12240013,43493,customer,True,Sarah Brown,enterprise,67703,True,2024-11-26 00:00:00,2025-11-26 00:00:00,13,inbound
ACCT-26,Data Inc,Sweden,Stockholm,International,Real Estate,7969792,3569,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-27,East Solutions,United States,Boston,East,Manufacturing,47241089,10478,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-28,Strategic Corp,United States,Seattle,West,Transportation,9999133,2776,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-29,Red Partners,United States,Los Angeles,West,Education,2109227,2640,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-30,East Solutions,United States,Los Angeles,West,Technology,2446410,3659,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-31,Digital Systems,United States,Seattle,West,Retail,98322292,16511,prospect,True,Donna Moriarty,enterprise,0,False,,,0,
ACCT-32,Digital Inc,United States,San Francisco,West,Technology,6816746,4384,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-33,Clear Co,United States,New York,East,Media,5509119,1067,customer,True,Sarah Brown,midmarket,78136,True,2026-04-09 00:00:00,2027-04-09 00:00:00,22,
ACCT-34,Clear Corp,United States,"Washington, D.C.",East,Manufacturing,9323974,3828,customer,True,David Lee,midmarket,83474,True,2025-06-12 00:00:00,2026-06-12 00:00:00,28,inbound
ACCT-35,Continental Partners,United States,New York,East,Consulting,2934976,1971,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-36,West Technologies,United States,"Washington, D.C.",East,Technology,148215,61,prospect,True,Jake Morgan,SMB,0,False,,,0,
ACCT-37,Green Solutions,United Kingdom,Leeds,International,Technology,942127,92,prospect,True,Samantha Lee,SMB,0,False,,,0,
ACCT-38,West Solutions,United States,New York,East,Non-profit,435476,35,prospect,True,Jake Morgan,SMB,0,False,,,0,
ACCT-39,Atlantic Corp,United States,Seattle,West,Retail,17069536,16753,customer,True,David Lee,enterprise,108506,True,2025-01-03 00:00:00,2026-01-03 00:00:00,142,outbound
ACCT-40,Red Corp,Germany,Hamburg,International,Technology,21594468,41247,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-41,Golden Inc,United States,Portland,West,Media,93579731,20897,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-42,Golden Group,United States,San Francisco,West,Consulting,4278644,4577,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-43,Central Ltd,United States,"Washington, D.C.",East,Technology,6812025,178,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-44,Blue Inc,United States,San Francisco,West,Real Estate,6159172,951,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-45,Advanced Technologies,Sweden,Uppsala,International,Insurance,29109045,23338,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-46,Cloud Inc,Germany,Munich,International,Education,7249378,3855,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-47,West Corp,United States,San Francisco,West,Manufacturing,62928934,9904,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-48,Quick Partners,United States,Boston,East,Technology,49148093,22104,prospect,True,Donna Moriarty,enterprise,0,False,,,0,
ACCT-49,Continental Group,Sweden,Uppsala,International,Healthcare,70768130,22822,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-50,Innovative Corp,United Kingdom,Bristol,International,Technology,24181143,15772,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-51,Golden Systems,United States,Seattle,West,Healthcare,4483557,3802,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-52,Strategic Systems,United States,New York,East,Technology,6103880,430,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-53,Advanced Group,United States,Philadelphia,East,Insurance,7647878,4306,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-54,Data Co,United States,"Washington, D.C.",East,Technology,64276605,34635,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-55,Sharp Technologies,United States,New York,East,Media,246583,16,prospect,True,Samantha Lee,SMB,0,False,,,0,
ACCT-56,Tech Inc,Germany,Berlin,International,Transportation,59961172,49976,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-57,North Corp,United States,Portland,West,Transportation,122859,9,prospect,True,Samantha Lee,SMB,0,False,,,0,
ACCT-58,Advanced Systems,United Kingdom,Leeds,International,Transportation,26445384,7798,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-59,Golden Inc,United States,Boston,East,Transportation,7626978,4164,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-60,Tech Solutions,United States,Seattle,West,Technology,35118997,23021,prospect,True,Donna Moriarty,enterprise,0,False,,,0,
ACCT-61,Dynamic Systems,United Kingdom,Bristol,International,Technology,49608344,37695,prospect,True,Donna Moriarty,enterprise,0,False,,,0,
ACCT-62,Silver Technologies,United States,Seattle,West,Healthcare,8033593,1733,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-63,North Technologies,United States,"Washington, D.C.",East,Financial Services,12621269,30067,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-64,Pacific Group,United States,San Francisco,West,Healthcare,9428760,2734,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-65,Red Co,United States,New York,East,Technology,47706144,8839,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-66,Pacific Systems,United States,San Francisco,West,Insurance,31424479,11562,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-67,Innovative Ltd,United States,Philadelphia,East,Non-profit,1937991,1897,customer,True,Sarah Brown,midmarket,87728,True,2024-12-16 00:00:00,2025-12-16 00:00:00,29,inbound
ACCT-68,Atlantic LLC,United States,Boston,East,Media,58155056,43768,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-69,Tech Group,France,Lyon,International,Technology,949767,64,prospect,True,Jake Morgan,SMB,0,False,,,0,
ACCT-70,Sharp Co,United States,New York,East,Technology,4671004,263,customer,True,Sarah Brown,midmarket,84501,True,2025-06-11 00:00:00,2026-06-11 00:00:00,35,inbound
ACCT-71,Worldwide Partners,United States,New York,East,Real Estate,6428919,587,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-72,Tech LLC,United States,Los Angeles,West,Media,80638102,28913,prospect,True,Donna Moriarty,enterprise,0,False,,,0,
ACCT-73,Cloud Group,United States,San Francisco,West,Manufacturing,6646557,2572,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-74,Blue LLC,Germany,Munich,International,Manufacturing,9173859,2699,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-75,Global Technologies,United States,Los Angeles,West,Media,4745298,4924,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-76,Atlantic LLC,United States,San Francisco,West,Technology,286340,94,prospect,True,Samantha Lee,SMB,0,False,,,0,
ACCT-77,Tech Partners,United States,Los Angeles,West,Legal,1543292,1591,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-78,Fast Group,Germany,Berlin,International,Financial Services,76596831,14217,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-79,Blue Corp,United States,"Washington, D.C.",East,Technology,2488575,2850,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-80,Golden Inc,United States,New York,East,Technology,44448045,12080,prospect,True,Donna Moriarty,enterprise,0,False,,,0,
ACCT-81,West Inc,United States,New York,East,Financial Services,3790695,3491,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-82,Bright Solutions,United States,San Francisco,West,Transportation,4784650,1432,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-83,Golden Corp,United States,Seattle,West,Technology,45047967,11863,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-84,Cloud Group,United States,New York,East,Real Estate,83423305,11101,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-85,Blue Partners,Germany,Hamburg,International,Financial Services,3768193,3656,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
ACCT-86,Global Inc,United States,New York,East,Technology,84371711,40397,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-87,Dynamic Co,United States,New York,East,Financial Services,676363,63,prospect,True,Jake Morgan,SMB,0,False,,,0,
ACCT-88,Smart Inc,United States,San Francisco,West,Technology,9058573,1735,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-89,Digital Inc,United States,Boston,East,Insurance,8945197,1046,prospect,True,Tina Patel,midmarket,0,False,,,0,
ACCT-90,Strategic Solutions,United States,Los Angeles,West,Technology,96149847,40659,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-91,Red LLC,United States,San Francisco,West,Technology,15988382,22255,prospect,True,Brian Chen,enterprise,0,False,,,0,
ACCT-92,Golden Systems,United States,"Washington, D.C.",East,Financial Services,3535551,892,prospect,True,Carlos Rivera,midmarket,0,False,,,0,
