opportunity_id,account_id,account_name,call_date,call_owner,customer_seniority,notes,outcome,opportunity_stage,opportunity_type
ACCT-0-new business-2024,ACCT-0,Quick Group,2024-12-14,Brian Chen,Director,Intro call with Director. They're looking to solve manual reporting. Budget seems to be around $50K-$100K. Competition includes Endframe.,negative,2. Discovery,new business
ACCT-0-new business-2024,ACCT-0,Quick Group,2024-12-26,Brian Chen,Manager,"Discovery session with Manager and team. Key pain points: scalability issues, deployment challenges. They're evaluating YaoNet. Our AI-powered insights addresses their needs. Timeline: end of year.",neutral,2. Discovery,new business
ACCT-0-new business-2024,ACCT-0,Quick Group,2024-12-15,Brian Chen,VP,Qualification call - VP confirmed cost overruns is priority. They're looking at SeeFood and YaoNet. Our rapid deployment resonated well. Next steps: technical demo.,positive,2. Discovery,new business
ACCT-1-new business-2025,ACCT-1,Quick Co,2025-05-01,Carlos Rivera,Individual Contributor,First conversation with Individual Contributor. They mentioned manual reporting as their biggest challenge. Currently evaluating Endframe and Endframe. Timeline: Q2 2025.,negative,2. Discovery,new business
ACCT-1-new business-2025,ACCT-1,Quick Co,2025-05-05,Carlos Rivera,Individual Contributor,"Discovery session with Individual Contributor and team. Key pain points: lack of real-time insights, deployment challenges. They're evaluating Pied Piper. Our real-time analytics addresses their needs. Timeline: within 30 days.",positive,2. Discovery,new business
ACCT-2-new business-2024,ACCT-2,Worldwide Inc,2024-11-19,Carlos Rivera,Individual Contributor,Initial outreach to Individual Contributor at Worldwide Inc. They're currently using Pied Piper but experiencing data silos. Showed interest in our real-time analytics capabilities.,neutral,2. Discovery,new business
ACCT-2-new business-2024,ACCT-2,Worldwide Inc,2024-11-21,Carlos Rivera,Manager,Qualification call - Manager confirmed scalability issues is priority. They're looking at SeeFood and Endframe. Our security focus resonated well. Next steps: proof of concept.,negative,2. Discovery,new business
ACCT-2-new business-2024,ACCT-2,Worldwide Inc,2024-11-18,Carlos Rivera,Director,Qualification call - Director confirmed compliance requirements is priority. They're looking at YaoNet and SeeFood. Our security focus resonated well. Next steps: contract review.,negative,2. Discovery,new business
ACCT-3-new business-2025,ACCT-3,East Group,2025-06-24,Carlos Rivera,Manager,Initial outreach to Manager at East Group. They're currently using SeeFood but experiencing lack of real-time insights. Showed interest in our mobile app capabilities.,positive,5. Closed Won,new business
ACCT-3-new business-2025,ACCT-3,East Group,2025-07-12,Carlos Rivera,VP,Closed the deal! VP signed off. They chose us over SeeFood because of our security focus. Implementation timeline: immediate.,positive,5. Closed Won,new business
ACCT-3-renewal-2026,ACCT-3,East Group,2026-05-14,Sarah Brown,Manager,Initial outreach to Manager at East Group. They're currently using Pied Piper but experiencing manual reporting. Showed interest in our enterprise security capabilities.,positive,5. Closed Won,renewal
ACCT-3-renewal-2026,ACCT-3,East Group,2026-05-19,Sarah Brown,Director,"Discovery session with Director and team. Key pain points: lack of real-time insights, deployment challenges. They're evaluating YaoNet. Our AI-powered insights addresses their needs. Timeline: 3-6 months.",positive,5. Closed Won,renewal
ACCT-3-renewal-2026,ACCT-3,East Group,2026-06-08,Sarah Brown,Manager,Closed the deal! Manager signed off. They chose us over YaoNet because of our security focus. Implementation timeline: Q1 2025.,positive,5. Closed Won,renewal
ACCT-4-new business-2025,ACCT-4,Red Technologies,2025-01-16,Carlos Rivera,Manager,Initial outreach to Manager at Red Technologies. They're currently using Pied Piper but experiencing data silos. Showed interest in our mobile app capabilities.,negative,2. Discovery,new business
ACCT-4-new business-2025,ACCT-4,Red Technologies,2025-01-25,Carlos Rivera,Manager,"Discovery session with Manager and team. Key pain points: limited customization, inadequate support. They're evaluating SeeFood. Our mobile app addresses their needs. Timeline: within 60 days.",negative,2. Discovery,new business
ACCT-4-new business-2025,ACCT-4,Red Technologies,2025-01-24,Carlos Rivera,Director,"Discovery session with Director and team. Key pain points: security concerns, limited analytics. They're evaluating YaoNet. Our automated workflows addresses their needs. Timeline: within 30 days.",negative,2. Discovery,new business
ACCT-5-new business-2025,ACCT-5,Blue Partners,2025-01-17,Carlos Rivera,Manager,First conversation with Manager. They mentioned performance bottlenecks as their biggest challenge. Currently evaluating Pied Piper and Pied Piper. Timeline: end of year.,negative,4. Negotiation,new business
ACCT-5-new business-2025,ACCT-5,Blue Partners,2025-01-24,Carlos Rivera,Manager,Discovery call with Manager. Deep dive into lack of real-time insights. They need advanced reporting and audit logging. Current solution: SeeFood. Timeline: Q3 2025. Budget: $50K-$100K.,negative,4. Negotiation,new business
ACCT-5-new business-2025,ACCT-5,Blue Partners,2025-01-28,Carlos Rivera,Manager,"Discovery session with Manager and team. Key pain points: lack of real-time insights, limited analytics. They're evaluating SeeFood. Our real-time analytics addresses their needs. Timeline: end of year.",neutral,4. Negotiation,new business
ACCT-6-new business-2025,ACCT-6,Continental Corp,2025-04-29,Brian Chen,VP,Intro call with VP. They're looking to solve security concerns. Budget seems to be around $250K-$500K. Competition includes Pied Piper.,neutral,2. Discovery,new business
ACCT-6-new business-2025,ACCT-6,Continental Corp,2025-05-07,Brian Chen,Director,Discovery call with Director. Deep dive into manual reporting. They need automated workflows and performance monitoring. Current solution: SeeFood. Timeline: Q2 2025. Budget: $100K-$250K.,negative,2. Discovery,new business
ACCT-7-new business-2024,ACCT-7,Dynamic Group,2024-12-25,Brian Chen,Director,Initial outreach to Director at Dynamic Group. They're currently using SeeFood but experiencing cost overruns. Showed interest in our AI-powered insights capabilities.,negative,5. Closed Lost,new business
ACCT-7-new business-2024,ACCT-7,Dynamic Group,2024-12-24,Brian Chen,VP,"Discovery session with VP and team. Key pain points: integration challenges, inadequate support. They're evaluating Pied Piper. Our enterprise security addresses their needs. Timeline: Q4 2025.",negative,5. Closed Lost,new business
ACCT-8-new business-2025,ACCT-8,International Inc,2025-05-16,Tina Patel,Director,Intro call with Director. They're looking to solve integration challenges. Budget seems to be around $100K-$250K. Competition includes Endframe.,neutral,2. Discovery,new business
ACCT-8-new business-2025,ACCT-8,International Inc,2025-05-27,Tina Patel,Manager,Discovery call with Manager. Deep dive into manual reporting. They need AI-powered insights and multi-language support. Current solution: Endframe. Timeline: Q4 2025. Budget: $50K-$100K.,negative,2. Discovery,new business
ACCT-8-new business-2025,ACCT-8,International Inc,2025-05-23,Tina Patel,Individual Contributor,Discovery call with Individual Contributor. Deep dive into security concerns. They need data visualization and webhook support. Current solution: Pied Piper. Timeline: within 30 days. Budget: $10K-$25K.,negative,2. Discovery,new business
ACCT-9-new business-2024,ACCT-9,Worldwide LLC,2024-12-26,Samantha Lee,Individual Contributor,First conversation with Individual Contributor. They mentioned performance bottlenecks as their biggest challenge. Currently evaluating YaoNet and Pied Piper. Timeline: immediate.,negative,5. Closed Lost,new business
ACCT-9-new business-2024,ACCT-9,Worldwide LLC,2025-01-05,Samantha Lee,Manager,Qualification call - Manager confirmed compliance requirements is priority. They're looking at Pied Piper and SeeFood. Our superior performance resonated well. Next steps: contract review.,negative,5. Closed Lost,new business
ACCT-10-new business-2025,ACCT-10,Worldwide LLC,2025-02-10,Donna Moriarty,Director,Initial outreach to Director at Worldwide LLC. They're currently using Endframe but experiencing scalability issues. Showed interest in our cloud deployment capabilities.,negative,2. Discovery,new business
ACCT-10-new business-2025,ACCT-10,Worldwide LLC,2025-02-13,Donna Moriarty,Manager,"Discovery session with Manager and team. Key pain points: poor user adoption, poor mobile experience. They're evaluating YaoNet. Our real-time analytics addresses their needs. Timeline: within 60 days.",neutral,2. Discovery,new business
ACCT-10-new business-2025,ACCT-10,Worldwide LLC,2025-02-12,Donna Moriarty,Director,Qualification call - Director confirmed integration challenges is priority. They're looking at Endframe and YaoNet. Our excellent support resonated well. Next steps: executive presentation.,negative,2. Discovery,new business
ACCT-11-new business-2025,ACCT-11,Green Co,2025-01-31,Brian Chen,Director,Intro call with Director. They're looking to solve manual reporting. Budget seems to be around $50K-$100K. Competition includes SeeFood.,negative,3. Evaluation,new business
ACCT-11-new business-2025,ACCT-11,Green Co,2025-02-06,Brian Chen,Director,Discovery call with Director. Deep dive into integration challenges. They need advanced reporting and multi-language support. Current solution: Pied Piper. Timeline: Q1 2025. Budget: $100K-$250K.,negative,3. Evaluation,new business
ACCT-11-new business-2025,ACCT-11,Green Co,2025-02-01,Brian Chen,VP,"Discovery session with VP and team. Key pain points: lack of real-time insights, slow response times. They're evaluating SeeFood. Our automated workflows addresses their needs. Timeline: within 60 days.",neutral,3. Evaluation,new business
ACCT-11-new business-2025,ACCT-11,Green Co,2025-03-13,Brian Chen,Manager,Technical deep dive with Manager. They're impressed with our advanced reporting and custom branding. Concerns about support quality. Comparing us to SeeFood. Timeline: Q1 2025.,negative,3. Evaluation,new business
ACCT-11-new business-2025,ACCT-11,Green Co,2025-03-27,Brian Chen,Manager,Evaluation call - Manager wants to see AI-powered insights in action. They're also looking at Endframe. Pricing feedback: within budget. Next: compliance assessment.,neutral,3. Evaluation,new business
ACCT-12-new business-2025,ACCT-12,North Co,2025-07-14,Brian Chen,Director,Intro call with Director. They're looking to solve integration challenges. Budget seems to be around $500K+. Competition includes Endframe.,neutral,4. Negotiation,new business
